  1 3.1415015589116170E-02 -1.3571390120578069E-04 2.8415889470757979E-04 2.8310967988007208E-04
  2 6.2826769799220097E-02 -5.5120707952146207E-04 1.0090154805481623E-03 1.0134889764809062E-03
  3 9.4201332951291711E-02 -1.2408707708689362E-03 2.1211323721099136E-03 2.1298018120018956E-03
  4 1.2559221668635404E-01 -2.2360668896158247E-03 3.5991261109686503E-03 3.6004816310517326E-03
  5 1.5686339080225511E-01 -3.4675198258657066E-03 5.3949190049671194E-03 5.3873566721988342E-03
  6 1.8816081207996863E-01 -5.0679903402303661E-03 7.5299613472942489E-03 7.4907457975109584E-03
  7 2.1931062946685412E-01 -6.8114262775232498E-03 9.9851962523201162E-03 1.0004434656919251E-02
  8 2.5045201142282025E-01 -8.9355950531903074E-03 1.2755069048205853E-02 1.2676168705585588E-02
  9 2.8155138119002082E-01 -1.1431845022163238E-02 1.5733868479727544E-02 1.5827494875097024E-02
 10 3.1244989328224554E-01 -1.4484240935066756E-02 1.9053576876093159E-02 1.9089913721899207E-02
 11 3.4353657862914677E-01 -1.7512128196372372E-02 2.2756456502008592E-02 2.2552884945024151E-02
 12 3.7419814538018464E-01 -2.0755311158554956E-02 2.6487890495942502E-02 2.6540674702332151E-02
 13 4.0471778305395006E-01 -2.4716746098756945E-02 3.0574669926154419E-02 3.0486704997144842E-02
 14 4.3532268969051818E-01 -2.8927256849193599E-02 3.4816898257935568E-02 3.4926761618638322E-02
 15 4.6523819429729529E-01 -3.3959134828612132E-02 3.9486811085443607E-02 3.9300253538392754E-02
 16 4.9562151113851499E-01 -3.8896437357086193E-02 4.4286157632872115E-02 4.4026952535135354E-02
 17 5.2469961155847800E-01 -4.4692051146429511E-02 4.9288584565596684E-02 4.9175019602353751E-02
 18 5.5468531265976151E-01 -5.0079095178762703E-02 5.4320745227081219E-02 5.3851232771457321E-02
 19 5.8360714615184994E-01 -5.6936969115106109E-02 5.9539530274804353E-02 5.9644306560058216E-02
 20 6.1324967828801480E-01 -6.3593638056841914E-02 6.5191270809215621E-02 6.4870924191683693E-02
 21 6.4172590171401678E-01 -7.1170963271912954E-02 7.1759325933556314E-02 7.1019655272803461E-02
 22 6.7020823663918838E-01 -7.9331660421593092E-02 7.6566944264960982E-02 7.6903501054815304E-02
 23 6.9796600527253172E-01 -8.8179770703362956E-02 8.2421856260920065E-02 8.3386993999528231E-02
 24 7.2548647780509434E-01 -9.6291204102461669E-02 8.8735846042813746E-02 8.9372270263389522E-02
 25 7.5386186638889174E-01 -1.0602176402524592E-01 9.5734677032792467E-02 9.5595022853050882E-02
 26 7.8053286143503198E-01 -1.1619823055950883E-01 1.0186870312198053E-01 1.0222057497550412E-01
